{'HIDDEN_DIM': 4700, 'sliced_time': 0.0018782826364040375, 'unsliced_time': 0.0018845567524433137, 'ratio': 0.9966707736282594}
{'HIDDEN_DIM': 5200, 'sliced_time': 0.0018772565841674806, 'unsliced_time': 0.0021976530134677884, 'ratio': 0.8542097285891652}
{'HIDDEN_DIM': 5700, 'sliced_time': 0.0018771075546741487, 'unsliced_time': 0.0019751825153827667, 'ratio': 0.9503463806788447}
{'HIDDEN_DIM': 6200, 'sliced_time': 0.0018925990641117097, 'unsliced_time': 0.0018981713175773621, 'ratio': 0.997064409616744}
{'HIDDEN_DIM': 6700, 'sliced_time': 0.001891927742958069, 'unsliced_time': 0.0024073420763015747, 'ratio': 0.7858990052068785}
{'HIDDEN_DIM': 7200, 'sliced_time': 0.0019430799841880797, 'unsliced_time': 0.0019137904107570647, 'ratio': 1.0153044833260652}
{'HIDDEN_DIM': 7700, 'sliced_time': 0.0021966129302978515, 'unsliced_time': 0.002988037037849426, 'ratio': 0.7351357772589109}
{'HIDDEN_DIM': 8200, 'sliced_time': 0.0019029888987541197, 'unsliced_time': 0.0021043702244758606, 'ratio': 0.9043032811529638}
{'HIDDEN_DIM': 8700, 'sliced_time': 0.0022011294186115265, 'unsliced_time': 0.003566991925239563, 'ratio': 0.617082815084785}
{'HIDDEN_DIM': 9200, 'sliced_time': 0.0018986709952354432, 'unsliced_time': 0.002503956991434097, 'ratio': 0.7582682137635331}
{'HIDDEN_DIM': 9700, 'sliced_time': 0.0019005066633224488, 'unsliced_time': 0.004268882149457932, 'ratio': 0.445200077393511}
{'HIDDEN_DIM': 10200, 'sliced_time': 0.0019090653717517853, 'unsliced_time': 0.00295548734664917, 'ratio': 0.6459392810178051}
{'HIDDEN_DIM': 10700, 'sliced_time': 0.0019246013939380646, 'unsliced_time': 0.005176090991497039, 'ratio': 0.3718252629445039}
{'HIDDEN_DIM': 11200, 'sliced_time': 0.0018882178664207459, 'unsliced_time': 0.0033971745789051055, 'ratio': 0.5558200859460424}
{'HIDDEN_DIM': 11700, 'sliced_time': 0.0019037769615650177, 'unsliced_time': 0.005879023218154907, 'ratio': 0.3238253857691866}
{'HIDDEN_DIM': 12200, 'sliced_time': 0.0018949769020080566, 'unsliced_time': 0.003838509529829025, 'ratio': 0.49367518493368506}
{'HIDDEN_DIM': 12700, 'sliced_time': 0.0019179074823856353, 'unsliced_time': 0.0068926947832107545, 'ratio': 0.278252199278761}
{'HIDDEN_DIM': 13200, 'sliced_time': 0.0019007927656173706, 'unsliced_time': 0.004493364048004151, 'ratio': 0.4230222045911591}
{'HIDDEN_DIM': 13700, 'sliced_time': 0.002191421890258789, 'unsliced_time': 0.008104296338558198, 'ratio': 0.2704024876080304}
{'HIDDEN_DIM': 14200, 'sliced_time': 0.0020726618111133574, 'unsliced_time': 0.0050824717044830325, 'ratio': 0.4078058731316006}
{'HIDDEN_DIM': 14700, 'sliced_time': 0.0019101221323013307, 'unsliced_time': 0.00896602646112442, 'ratio': 0.2130399838304497}
{'HIDDEN_DIM': 15200, 'sliced_time': 0.0019137964308261872, 'unsliced_time': 0.005808381414413453, 'ratio': 0.3294887670560195}
{'HIDDEN_DIM': 15700, 'sliced_time': 0.0019803897082805635, 'unsliced_time': 0.010234132224321367, 'ratio': 0.1935083175468631}
{'HIDDEN_DIM': 16200, 'sliced_time': 0.0019378230094909668, 'unsliced_time': 0.006501801419258118, 'ratio': 0.2980440165015191}
{'HIDDEN_DIM': 300, 'sliced_time': 0.0018703172445297242, 'unsliced_time': 0.0019513528406620024, 'ratio': 0.9584720946188355}
{'HIDDEN_DIM': 800, 'sliced_time': 0.0018609413623809814, 'unsliced_time': 0.002147937226295471, 'ratio': 0.866385357820969}
{'HIDDEN_DIM': 1300, 'sliced_time': 0.0018847997426986694, 'unsliced_time': 0.0018687453031539917, 'ratio': 1.0085910260309854}
{'HIDDEN_DIM': 1800, 'sliced_time': 0.0018584988474845887, 'unsliced_time': 0.0018685423016548157, 'ratio': 0.9946249789681869}
{'HIDDEN_DIM': 2300, 'sliced_time': 0.0018861904799938201, 'unsliced_time': 0.0021972000360488894, 'ratio': 0.8584518701290659}
{'HIDDEN_DIM': 2800, 'sliced_time': 0.0018680109322071075, 'unsliced_time': 0.0018981383740901948, 'ratio': 0.984127900107637}
{'HIDDEN_DIM': 3300, 'sliced_time': 0.0018552919387817383, 'unsliced_time': 0.0019088308334350586, 'ratio': 0.9719519961038278}
{'HIDDEN_DIM': 3800, 'sliced_time': 0.0019018191635608672, 'unsliced_time': 0.0019039096355438234, 'ratio': 0.9989020109232448}
{'HIDDEN_DIM': 4300, 'sliced_time': 0.0019114970207214355, 'unsliced_time': 0.0018793344795703885, 'ratio': 1.0171137929414242}
{'HIDDEN_DIM': 4800, 'sliced_time': 0.001884743785858154, 'unsliced_time': 0.0018688160181045534, 'ratio': 1.0085229191099054}
{'HIDDEN_DIM': 5300, 'sliced_time': 0.0018940373122692108, 'unsliced_time': 0.0019322844088077544, 'ratio': 0.9802062800050524}
{'HIDDEN_DIM': 5800, 'sliced_time': 0.001875464230775833, 'unsliced_time': 0.0022430833160877227, 'ratio': 0.8361099283850619}
{'HIDDEN_DIM': 6300, 'sliced_time': 0.0019108640491962432, 'unsliced_time': 0.002227376621961594, 'ratio': 0.8578989427990825}
{'HIDDEN_DIM': 6800, 'sliced_time': 0.0018788148760795593, 'unsliced_time': 0.0019175203442573549, 'ratio': 0.9798148331027038}
